Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type_1,Income_type_2,Income_type_3,Income_type_4,Income_type_5,Education_type,Family_status_1,Family_status_2,Family_status_3,Family_status_4,Family_status_5,Housing_type_1,Housing_type_2,Housing_type_3,Housing_type_4,Housing_type_5,Housing_type_6,Occupation_type_1,Occupation_type_2,Occupation_type_3,Occupation_type_4,Occupation_type_5,Occupation_type_6,Occupation_type_7,Occupation_type_8,Occupation_type_9,Occupation_type_10,Occupation_type_11,Occupation_type_12,Occupation_type_13,Occupation_type_14,Occupation_type_15,Occupation_type_16,Occupation_type_17,Occupation_type_18,Occupation_type_19
0,0,1,0,0,0,0,-0.6472020574809728,-0.03719673768435178,1.6571317033088553,0.48660803341769127,-1.0760363045342696,-0.5174223622547204,1,0,0,0,0,1.5012715318915784,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1.468682684230164,0.9729969797341885,1.6571317033088553,-0.4223564018483534,-0.37576394262774676,1.377522447565779,1,0,0,0,0,-0.527668610278408,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,1.468682684230164,0.9729969797341885,-1.3833267574252126,0.24527176570647882,-0.3142869596056232,-0.17769237353717302,0,1,0,0,0,-0.527668610278408,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1.468682684230164,-0.03719673768435178,-1.9916685727649028,-1.0061987031116222,-0.2445858077848079,-0.9004269600952312,1,0,0,0,0,-0.527668610278408,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1.710835868187977,2.2864106218891624,0.8955208115546506,0.23496342727785205,-0.6052816051982935,0.32552381403329284,0,0,1,0,0,-0.527668610278408,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,-0.6472020574809728,-1.5812065880252435,-1.3833267574252126,1.0689811240952825,-0.5692026409307787,-0.1686307650897292,1,0,0,0,0,-0.527668610278408,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1.468682684230164,0.9729969797341885,-1.9916685727649028,-0.35136878291764645,0.6115854413774776,0.04641736006688824,1,0,0,0,0,-0.527668610278408,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.468682684230164,0.9729969797341885,-0.24277642312399517,-0.7348348028031173,-0.9200947358444322,0.7112303752454013,1,0,0,0,0,-0.527668610278408,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,-0.6472020574809728,-1.5812065880252435,-1.9916685727649028,0.48660803341769127,0.6588805289597087,-0.08968439731523331,1,0,0,0,0,-0.527668610278408,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,-0.6472020574809728,-1.5812065880252435,0.9906704327006245,-0.7348348028031173,1.0573300267105774,-1.4740110791045533,0,0,0,1,0,1.5012715318915784,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,1.468682684230164,0.9729969797341885,1.0376136004002177,-0.35136878291764645,-1.2743536224442316,0.48753376011022004,0,1,0,0,0,-0.527668610278408,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,-0.6472020574809728,-0.03719673768435178,-0.9428859929853651,0.7010575650248714,-1.3628145008515808,-0.17769237353717302,0,1,0,0,0,1.5012715318915784,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,-0.6472020574809728,-0.03719673768435178,-1.108122974185435,-1.9824441492008162,1.6856067172669267,-1.4740110791045533,0,0,0,1,0,-0.527668610278408,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,-0.6472020574809728,-0.03719673768435178,-0.11961345604847108,-0.7348348028031173,1.2396223488806453,-0.6572908618984706,0,1,0,0,0,-0.527668610278408,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,-0.6472020574809728,-1.5812065880252435,1.0841527120997192,-0.7348348028031173,0.5183120730271712,-0.5612660386855661,0,1,0,0,0,-0.527668610278408,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,-0.6472020574809728,-0.03719673768435178,-0.9428859929853651,-0.030392873688140146,0.3873967771031738,-0.05940739662512603,1,0,0,0,0,-0.527668610278408,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,-0.6472020574809728,-0.03719673768435178,0.33676254819181245,0.7010575650248714,0.6524187196676695,-1.1688570784094527,0,1,0,0,0,-0.527668610278408,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,1.468682684230164,-0.03719673768435178,-0.1806624545373282,0.24527176570647882,0.1960430801860865,0.5938909316446889,1,0,0,0,0,1.5012715318915784,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
