,Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Education_type,Target,Income_type_Commercial associate,Income_type_Pensioner,Income_type_State servant,Income_type_Working,Family_status_Civil marriage,Family_status_Married,Family_status_Separated,Family_status_Single / not married,Family_status_Widow,Housing_type_House / apartment,Housing_type_Municipal apartment,Housing_type_With parents,Occupation_type_Accountants,Occupation_type_Core staff,Occupation_type_Drivers,Occupation_type_High skill tech staff,Occupation_type_Laborers,Occupation_type_Managers
9401,0,1,1,0,0,0,0,2.3914431893358974,2.1486244269865025,-1.2776959081777057,0.6222468144709219,1.6971687608795487,-0.41315244898613956,-1.6348178026313236,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9539,0,0,1,1,1,0,0,-0.5998634230400659,-0.18978993929664428,1.1251106391727685,-0.012371989909885592,1.4687187661243495,-0.5970635308915058,-1.6348178026313236,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
6735,0,0,0,0,0,0,1,0.8957898831479156,0.979417243844929,0.7046194933864356,-0.9189702818824678,-1.4439009092751907,-0.8932208130208044,0.6461430201911788,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9693,1,0,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,0.22405818391634075,-0.46567113589617665,-0.33744928519279127,0.22880947306381233,0.6461430201911788,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1188,1,1,1,0,0,0,0,-0.5998634230400659,-1.3589971224382176,0.944900148121483,-0.46567113589617665,-1.0074907646552063,-0.6031075570574098,0.6461430201911788,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5876,0,0,1,0,1,0,0,-0.5998634230400659,-1.3589971224382176,0.3441985112838645,-0.6923207088893222,-0.052004549478046044,1.2692454059087241,-1.6348178026313236,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4507,0,0,1,0,0,1,0,2.3914431893358974,2.1486244269865025,-1.3377660718614675,-0.23902156290303114,-0.779511800817028,-0.4908613568334774,0.6461430201911788,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
8128,0,1,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-1.578046726596515,0.4409271560764055,1.422557736256288,-0.5366232692324652,0.6461430201911788,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
580,0,0,1,0,1,1,0,-0.5998634230400659,-1.3589971224382176,-0.9172749260751345,1.3475254480489876,-0.8958564373212226,0.7641375049010285,-1.6348178026313236,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2066,0,0,1,0,0,0,1,-0.5998634230400659,-0.18978993929664428,-0.7971345987076108,-1.1456198548756134,1.3954734585275788,-0.8932208130208044,0.6461430201911788,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
